stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
230,,"BRADDOCK DR/INGLEWOOD BLVD",,  33.992827,-118.414249,,,0
231,,"BRADDOCK DR/MARIONWOOD DR",,  33.994731,-118.412862,,,0
232,,"BRADDOCK DR/SLAUSON AVE",,  33.996444,-118.411612,,,0
233,,"BRADDOCK DR/BERRYMAN AVE",,  33.998632,-118.410039,,,0
234,,"BRADDOCK DR/HUNTLEY AVE",,  34.001101,-118.408081,,,0
235,,"BRADDOCK DR/SEPULVEDA BLVD",,  34.002673,-118.406896,,,0
236,,"BRADDOCK DR/HARTER AVE",,  34.004935,-118.405236,,,0
237,,"BRADDOCK DR/HURON AVE",,  34.006403,-118.404108,,,0
238,,"BRADDOCK DR/ELENDA ST",,  34.008030,-118.402841,,,0
239,,"BRADDOCK DR/OVERLAND AVE",,  34.011709,-118.400050,,,0
24,,"WASHINGTON BLVD/CORINTH AVE",,  34.003231,-118.414999,,,0
240,,"BRADDOCK DR/LE BOURGET AVE",,  34.013531,-118.398674,,,0
241,,"BRADDOCK DR/JACKSON AVE",,  34.016671,-118.396555,,,0
242,,"BRADDOCK DR/MADISON AVE",,  34.018267,-118.395378,,,0
243,,"MADISON AVE/CULVER BLVD",,  34.019620,-118.397604,,,0
244,,"HIGUERA ST/HELMS AVE",,  34.022671,-118.384339,,,0
245,,"HAYDEN AVE/WARNER DR",,  34.023378,-118.381785,,,0
246,,"LA CIENEGA BLVD/RODEO RD",,  34.021083,-118.372539,,,0
247,,"STONEVIEW DR/WRIGHTCREST DR",,  34.015911,-118.377799,,,0
248,,"LENAWEE AVE/WRIGHTCREST DR",,  34.016097,-118.374827,,,0
249,,"HOLDREDGE AVE/JEFFERSON BLVD",,  34.021073,-118.378020,,,0
25,,"WASHINGTON BLVD/SEPULVEDA BLVD",,  34.006691,-118.413073,,,0
250,,"HIGUERA ST/EASTHAM DR",,  34.022182,-118.379003,,,0
251,,"HAYDEN AVE/WARNER DR",,  34.023508,-118.381917,,,0
252,,"HIGUERA ST/HELMS AVE",,  34.022810,-118.384464,,,0
253,,"HIGUERA ST/WASHINGTON BLVD",,  34.025610,-118.389992,,,0
254,,"CULVER BLVD/DUQUESNE AVE",,  34.020871,-118.397045,,,0
255,,"MADISON AVE/CULVER BLVD",,  34.019466,-118.397605,,,0
256,,"MADISON AVE/BRADDOCK DR",,  34.018392,-118.395530,,,0
257,,"BRADDOCK DR/JACKSON AVE",,  34.016971,-118.396482,,,0
258,,"BRADDOCK DR/LE BOURGET AVE",,  34.014087,-118.398694,,,0
259,,"BRADDOCK DR/OVERLAND AVE",,  34.011293,-118.400509,,,0
26,,"WASHINGTON BLVD/HARTER AVE",,  34.009841,-118.411333,,,0
260,,"BRADDOCK DR/ELENDA ST",,  34.008378,-118.402756,,,0
261,,"METRO GREEN LINE STATION",,  33.929593,-118.377434,,,0
262,,"AVIATION BLVD/IMPERIAL HWY",,  33.931308,-118.378309,,,0
263,,"AVIATION BLVD/111TH ST",,  33.934335,-118.378369,,,0
264,,"AVIATION BLVD/104TH ST",,  33.941828,-118.378371,,,0
265,,"CENTURY BLVD/AVIATION BLVD",,  33.945667,-118.379171,,,0
266,,"CENTURY BLVD/INTERNATIONAL RD",,  33.945644,-118.381532,,,0
267,,"AIRPORT BLVD/CENTURY BLVD",,  33.946414,-118.385901,,,0
268,,"96TH ST/AIRPORT BLVD",,  33.949301,-118.387129,,,0
269,,"LAX CITY BUS CENTER STALL #10",,  33.949137,-118.391674,,,0
27,,"WASHINGTON BLVD/HURON AVE",,  34.011272,-118.410541,,,0
270,,"96TH ST/SEPULVEDA BLVD",,  33.948847,-118.395762,,,0
271,,"SEPULVEDA BLVD/WESTCHESTER PKWY",,  33.954388,-118.396092,,,0
272,,"SEPULVEDA BLVD/LA TIJERA BLVD",,  33.957644,-118.396083,,,0
273,,"SEPULVEDA BLVD/MANCHESTER BLVD",,  33.960245,-118.396123,,,0
274,,"SEPULVEDA BLVD/83RD ST",,  33.963741,-118.396044,,,0
275,,"SEPULVEDA BLVD/79TH ST",,  33.967179,-118.395878,,,0
