stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
N1X12,,"Marine Ave & Van Ness Ave",,  33.894634,-118.318033,,,0,
N1X13,,"Marine Ave & Cimarron Ave",,  33.894639,-118.315732,,,0,
N1X14,,"Marine Ave & Gramercy Pl",,  33.894645,-118.313659,,,0,
N1X15,,"Marine Ave & Western Ave",,  33.894644,-118.309359,,,0,
N1X16,,"Western Ave & 153rd St",,  33.892989,-118.309155,,,0,
N1X17,,"Western Ave & 154th St",,  33.891039,-118.309168,,,0,
N1X18,,"Western Ave & Redondo Beach Bl",,  33.888172,-118.309177,,,0,
N1X19,,"Western Ave & 158th St",,  33.887173,-118.309214,,,0,
N1X20,,"Western Ave & 162nd St",,  33.883558,-118.309203,,,0,
N1X21,,"Western Ave & Gardena Bl",,  33.882152,-118.309238,,,0,
N1X22,,"166th St & Western Ave",,  33.880105,-118.308747,,,0,
N1X23,,"166th St & Denker Ave",,  33.880124,-118.304958,,,0,
N1X24,,"166th St & Halldale Ave",,  33.880141,-118.302371,,,0,
N1X25,,"166th St & Brighton Ave",,  33.880145,-118.300921,,,0,
N1X26,,"Gardena Bl & Normandie Ave",,  33.881351,-118.299262,,,0,
N1X27,,"Gardena Bl & Raymond Ave",,  33.881389,-118.297743,,,0,
N1X28,,"Gardena Bl & Budlong Ave",,  33.881455,-118.295565,,,0,
N1X29,,"Gardena Bl & Berendo Ave",,  33.881531,-118.293509,,,0,
N1X30,,"Vermont Ave & Gardena Bl",,  33.881735,-118.291233,,,0,
N1X31,,"Vermont Ave & 161st St",,  33.885060,-118.291304,,,0,
N1X32,,"Vermont Ave & 157th St",,  33.888715,-118.291470,,,0,
N1X33,,"Vermont Ave & Redondo Beach Bl",,  33.892758,-118.291624,,,0,
N1X34,,"Vermont Ave & Marine Ave",,  33.894835,-118.291643,,,0,
N1X35,,"Vermont Ave & 149th St",,  33.896792,-118.291533,,,0,
N1X36,,"Vermont Ave & 146th St",,  33.899640,-118.291610,,,0,
N1X37,,"Vermont Ave & Rosecrans Ave",,  33.901604,-118.291586,,,0,
N1X38,,"Rosecrans Ave & 110 FWY",,  33.901770,-118.286160,,,0,
N1X39,,"Harbor Freeway",,  33.928640,-118.280792,,,0,
N1X40,,"Broadway Pl & MLK Jr Bl",,  34.011582,-118.277110,,,0,
