stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4491,14491,EDDY ST & SCOTT ST, ,37.780876,-122.437165, , 
4492,14492,EDDY ST & SCOTT ST, ,37.780724,-122.43736, , 
4493,14493,EDDY ST & TAYLOR ST, ,37.784101,-122.410789, , 
4494,14494,EDDY ST & VAN NESS AVE, ,37.782988,-122.420613, , 
4495,14495,EDDY ST & VAN NESS AVE, ,37.782863,-122.42059, , 
4496,14496,ELLIS ST & JONES ST, ,37.78488,-122.41315, , 
4497,14497,ELLIS ST & LEAVENWORTH ST, ,37.78471,-122.41427, , 
4499,14499,ELLIS ST & TAYLOR ST, ,37.78509,-122.41145, , 
4501,14501,THE EMBARCADERO & BAY ST, ,37.806945,-122.406278, , 
4502,14502,THE EMBARCADERO & BAY ST, ,37.806629,-122.40603, , 
4503,14503,THE EMBARCADERO & BROADWAY, ,37.799552,-122.397869, , 
4504,14504,THE EMBARCADERO & BROADWAY, ,37.798901,-122.397434, , 
4506,14506,THE EMBARCADERO & BRANNAN ST, ,37.784359,-122.388138, , 
4507,14507,THE EMBARCADERO & CHESTNUT ST, ,37.80519,-122.40377, , 
4508,14508,THE EMBARCADERO & FOLSOM ST, ,37.791079,-122.390104, , 
4509,14509,THE EMBARCADERO & FOLSOM ST, ,37.790481,-122.389692, , 
4510,14510,THE EMBARCADERO & FOLSOM ST, ,37.790749,-122.389841, , 
4511,14511,THE EMBARCADERO & FOLSOM ST, ,37.790561,-122.389898, , 
4513,14513,THE EMBARCADERO/FERRY BUILDING, ,37.795105,-122.393861, , 
4515,14515,THE EMBARCADERO & GREENWICH ST, ,37.803263,-122.401113, , 
4516,14516,THE EMBARCADERO & GREENWICH ST, ,37.80296,-122.401029, , 
4517,14517,THE EMBARCADERO & GREEN ST, ,37.801264,-122.399369, , 
4518,14518,THE EMBARCADERO & GREEN ST, ,37.800605,-122.39892, , 
4519,14519,THE EMBARCADERO & HOWARD ST, ,37.792686,-122.391146, , 
4520,14520,THE EMBARCADERO & HOWARD ST, ,37.792159,-122.391066, , 
4521,14521,THE EMBARCADERO & MISSION ST, ,37.79381,-122.39278, , 
4522,14522,THE EMBARCADERO & MISSION ST, ,37.793775,-122.392315, , 
4523,14523,THE EMBARCADERO & MARKET ST, ,37.795,-122.39445, , 
4524,14524,THE EMBARCADERO/PIER 1, ,37.79721,-122.39557, , 
4525,14525,THE EMBARCADERO/PIER 5, ,37.79784,-122.39616, , 
4526,14526,THE EMBARCADERO/PIER 5, ,37.79781,-122.39662, , 
4529,14529,THE EMBARCADERO & SANSOME ST, ,37.805022,-122.403314, , 
4530,14530,THE EMBARCADERO & STOCKTON ST, ,37.808351,-122.410287, , 
4531,14531,THE EMBARCADERO & TOWNSEND ST, ,37.7836,-122.38832, , 
4532,14532,THE EMBARCADERO & WASHINGTON ST, ,37.797085,-122.39567, , 
4533,14533,THE EMBARCADERO & WASHINGTON ST, ,37.796685,-122.395591, , 
4534,14534,THE EMBARCADERO & WASHINGTON ST, ,37.796355,-122.395181, , 
4535,14535,EUREKA ST & 18TH ST, ,37.760631,-122.438188, , 
4536,14536,EUREKA ST & 19TH ST, ,37.759034,-122.438039, , 
4537,14537,EUREKA ST & 20TH ST, ,37.75741,-122.437879, , 
4538,14538,EUREKA ST & 21ST ST, ,37.755973,-122.437902, , 
4539,14539,EUREKA ST & 21ST ST, ,37.755813,-122.43773, , 
4540,14540,EUREKA ST & 22ND ST, ,37.754367,-122.437742, , 
4541,14541,EUREKA ST & 22ND ST, ,37.754215,-122.43757, , 
4542,14542,EUREKA ST & 23RD ST, ,37.75279,-122.43759, , 
4543,14543,EUREKA ST & MARKET ST, ,37.761594,-122.43828, , 
4544,14544,EUCALYPTUS DR & 19TH AVE, ,37.731157,-122.474744, , 
4545,14545,EUCALYPTUS DR & 19TH AVE, ,37.731041,-122.474538, , 
4546,14546,EUCALYPTUS DR & JUNIPERO SERRA BLVD, ,37.730988,-122.472442, , 
4547,14547,EVANS AVE & 3RD ST, ,37.742628,-122.387862, , 
4548,14548,EVANS AVE & CESAR CHAVEZ ST, ,37.749066,-122.396886, , 
4549,14549,EVANS AVE & CESAR CHAVEZ ST, ,37.74903,-122.397069, , 
4550,14550,EVANS AVE & KEITH ST, ,37.73877,-122.380797, , 
4551,14551,EVANS AVE & KEITH ST, ,37.738761,-122.381084, , 
4552,14552,EVANS AVE & MIDDLE POINT RD, ,37.737672,-122.379252, , 
4553,14553,EVANS AVE & MENDELL ST, ,37.740699,-122.384507, , 
4555,14555,EVANS AVE & NEWHALL ST, ,37.741949,-122.386408, , 
4556,14556,EVANS AVE & NAPOLEON ST, ,37.747263,-122.395879, , 
4557,14557,EVANS AVE & NAPOLEON ST, ,37.747343,-122.396257, , 
4558,14558,EVANS AVE & NEWHALL ST, ,37.740003,-122.382973, , 
4559,14559,EVANS AVE & PHELPS ST, ,37.742994,-122.388309, , 
4560,14560,EVANS AVE & PHELPS ST, ,37.742977,-122.388595, , 
4561,14561,EVANS AVE & QUINT ST, ,37.744245,-122.390531, , 
4562,14562,EVANS AVE & SELBY ST, ,37.745968,-122.39384, , 
4563,14563,EVANS AVE/US POST OFFICE, ,37.73986,-122.38264, , 
4564,14564,EVANS AVE/OPPOSITE US POST OFFICE, ,37.739717,-122.382813, , 
4565,14565,909 ELLSWORTH ST, ,37.73284,-122.41679, , 
4566,14566,945 ELLSWORTH ST, ,37.73281,-122.41776, , 
4567,14567,989 ELLSWORTH ST, ,37.73262,-122.41893, , 
4568,14568,ELLSWORTH ST & CRESCENT AVE, ,37.73471,-122.41491, , 
4571,14571,EXCELSIOR AVE & MADRID ST, ,37.72475,-122.43059, , 
4572,14572,EXCELSIOR AVE & MISSION ST, ,37.726162,-122.433577, , 
4573,14573,EXCELSIOR AVE & NAPLES ST, ,37.72399,-122.42899, , 
4574,14574,EXCELSIOR AVE & PARIS ST, ,37.72552,-122.43219, , 
4575,14575,50 THOMAS MELLON DR, ,37.709831,-122.392893, , 
4576,14576,EXECUTIVE PARK BLVD & BLANKEN AVE, ,37.71088,-122.39476, , 
4577,14577,FOREST HILL STATION, ,37.74809,-122.45904, , 
4578,14578,FAIRFAX AVE & KEITH ST, ,37.73817,-122.38179, , 
4579,14579,FARNUM ST & MOFFITT ST, ,37.738333,-122.434067, , 
4580,14580,FELL ST & GOUGH ST, ,37.77597,-122.42302, , 
4581,14581,FELTON ST & AMHERST ST, ,37.72702,-122.41634, , 
4582,14582,FELTON ST & AMHERST ST, ,37.72688,-122.41653, , 
4583,14583,FELTON ST & CAMBRIDGE ST, ,37.7264,-122.41874, , 
4584,14584,FELTON ST & CAMBRIDGE ST, ,37.72637,-122.41851, , 
4587,14587,FELTON ST & HARVARD ST, ,37.72597,-122.42028, , 
4588,14588,FELTON ST & HARVARD ST, ,37.72586,-122.42046, , 
4589,14589,FELTON ST & MADISON ST, ,37.725598,-122.422043, , 
4590,14590,FELTON ST & MADISON ST, ,37.72543,-122.42211, , 
4593,14593,FELTON ST & PERU AVE, ,37.7252,-122.42324, , 
4596,14596,FELTON ST & UNIVERSITY ST, ,37.7274,-122.41457, , 
4599,14599,FIELD RD/VISITOR CENTER, ,37.83048,-122.524411, , 
4600,14600,FIELD RD & BUNKER RD, ,37.831337,-122.523264, , 
4601,14601,FIELD RD/NIKE SITE, ,37.82906,-122.52767, , 
4602,14602,FIELD RD/YOUTH HOSTEL, ,37.83166,-122.52345, , 
4603,14603,FILLMORE ST & BAY ST, ,37.802585,-122.43668, , 
4604,14604,FILLMORE ST & BROADWAY, ,37.794158,-122.434842, , 
4605,14605,FILLMORE ST & BROADWAY, ,37.793805,-122.434878, , 
4606,14606,FILLMORE ST & BEACH ST, ,37.804423,-122.437127, , 
4607,14607,FILLMORE ST & BEACH ST, ,37.804447,-122.436958, , 
4608,14608,FILLMORE ST & CHESTNUT ST, ,37.801091,-122.436229, , 
4609,14609,FILLMORE ST & CHESTNUT ST, ,37.800891,-122.436469, , 
4610,14610,FILLMORE ST & CERVANTES BLVD, ,37.802817,-122.436806, , 
4611,14611,FILLMORE ST & EDDY ST, ,37.781733,-122.432329, , 
4612,14612,FILLMORE ST & EDDY ST, ,37.781523,-122.432401, , 
4613,14613,FILLMORE ST & GOLDEN GATE AVE, ,37.779859,-122.431955, , 
4614,14614,FILLMORE ST & GEARY BLVD, ,37.784733,-122.432921, , 
4615,14615,FILLMORE ST & GEARY BLVD, ,37.783984,-122.43291, , 
4616,14616,FILLMORE ST & GROVE ST, ,37.776998,-122.431369, , 
4617,14617,FILLMORE ST & GROVE ST, ,37.776859,-122.431472, , 
4618,14618,FILLMORE ST & HAIGHT ST, ,37.772199,-122.430537, , 
4620,14620,FILLMORE ST & HAIGHT ST, ,37.772033,-122.430347, , 
4621,14621,FILLMORE ST & HAYES ST, ,37.776106,-122.431197, , 
4622,14622,FILLMORE ST & HAYES ST, ,37.775598,-122.431207, , 
4623,14623,FILLMORE ST & JACKSON ST, ,37.792761,-122.434556, , 
4624,14624,FILLMORE ST & JACKSON ST, ,37.792386,-122.434607, , 
4625,14625,FILLMORE ST & JEFFERSON ST, ,37.805421,-122.437389, , 
4626,14626,FILLMORE ST & LOMBARD ST, ,37.799707,-122.435952, , 
4627,14627,FILLMORE ST & LOMBARD ST, ,37.799595,-122.436051, , 
4628,14628,FILLMORE ST & MCALLISTER ST, ,37.77854,-122.431687, , 
4629,14629,FILLMORE ST & MCALLISTER ST, ,37.778343,-122.431762, , 
4630,14630,FILLMORE ST & NORTH POINT ST, ,37.803547,-122.436791, , 
4631,14631,FILLMORE ST & OAK ST, ,37.774268,-122.430825, , 
4632,14632,FILLMORE ST & OAK ST, ,37.773759,-122.430866, , 
4633,14633,FILLMORE ST & O'FARRELL ST, ,37.783193,-122.432627, , 
4634,14634,FILLMORE ST & O'FARRELL ST, ,37.783019,-122.432699, , 
4635,14635,FILLMORE ST & PINE ST, ,37.788049,-122.433565, , 
4636,14636,FILLMORE ST & PINE ST, ,37.787717,-122.433655, , 
4637,14637,FILLMORE ST & SACRAMENTO ST, ,37.789925,-122.4341, , 
4638,14638,FILLMORE ST & SACRAMENTO ST, ,37.789744,-122.433947, , 
4639,14639,FILLMORE ST & SACRAMENTO ST, ,37.789577,-122.43404, , 
4640,14640,FILLMORE ST & SUTTER ST, ,37.786051,-122.433244, , 
4641,14641,FILLMORE ST & SUTTER ST, ,37.785814,-122.433268, , 
4642,14642,FILLMORE ST & TURK ST, ,37.780204,-122.432138, , 
4643,14643,FILLMORE ST & UNION ST, ,37.797391,-122.435489, , 
4645,14645,FITZGERALD AVE & HAWES ST, ,37.719921,-122.389587, , 
4646,14646,FITZGERALD AVE & INGALLS ST, ,37.720966,-122.391453, , 
4647,14647,FITZGERALD AVE & JENNINGS ST, ,37.722028,-122.39332, , 
4648,14648,FITZGERALD AVE & KEITH ST, ,37.722895,-122.394842, , 
4649,14649,FOERSTER ST & FLOOD AVE, ,37.729795,-122.448765, , 
4650,14650,FOERSTER ST & JUDSON AVE, ,37.728492,-122.448753, , 
4651,14651,FOERSTER ST & MANGELS AVE, ,37.73315,-122.448948, , 
4652,14652,FOERSTER ST & MANGELS AVE, ,37.732989,-122.448788, , 
4653,14653,FOERSTER ST & MONTEREY BLVD, ,37.731401,-122.448776, , 
4654,14654,FOERSTER ST & TERESITA BLVD, ,37.734194,-122.448799, , 
4655,14655,FOLSOM ST & 1ST ST, ,37.787423,-122.394188, , 
4656,14656,FOLSOM ST & 2ND ST, ,37.785746,-122.396528, , 
4657,14657,FOLSOM ST & 3RD ST, ,37.783989,-122.398753, , 
