"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"726","91325",32300,"11571","2.64",272600,48855,34.237662,-118.518345,"LOSANGELES"," 6,213 "," 6,970 "," 6,970 "," 6,970 "," 22,847 ",15.97,"$40K-$60K","0-25","within3km",189
"727","91326",28049,"9904","2.88",342000,82310,34.275888,-118.545436,"LOSANGELES"," 3,271 "," 9,783 "," 9,783 "," 9,783 "," 31,458 ",22.56,"$80K-$100K","0-25","within3km",57
"728","91331",97300,"22032","4.54",145800,39225,34.255562,-118.424498,"LOSANGELES"," 10,473 "," 7,674 "," 7,674 "," 7,674 "," 23,773 ",15.64,"$0-$40K","0-25","within3km",179
"729","91335",68002,"22811","3.05",170600,40792,34.20024,-118.53942,"LOSANGELES"," 10,369 "," 7,093 "," 7,093 "," 7,093 "," 20,955 ",14.37,"$40K-$60K","26-50","within3km",237
"730","91340",33373,"8075","4.24",144000,40398,34.286167,-118.434585,"LOSANGELES"," 10,577 "," 7,588 "," 7,588 "," 7,588 "," 22,968 ",15.26,"$40K-$60K","26-50","within3km",194
"731","91342",81970,"22060","3.7",167400,48744,34.303906,-118.420534,"LOSANGELES"," 1,518 "," 8,301 "," 8,301 "," 8,301 "," 26,860 ",18.16,"$40K-$60K","0-25","within3km",119
"732","91343",57001,"16785","3.45",202000,41786,34.2387,-118.47612,"LOSANGELES"," 9,530 "," 7,473 "," 7,473 "," 7,473 "," 21,924 ",14.9,"$40K-$60K","26-50","within3km",238
"733","91344",48863,"16695","2.96",238100,64947,34.28526,-118.4988,"LOSANGELES"," 3,285 "," 9,132 "," 9,132 "," 9,132 "," 29,019 ",20.34,"$60K-$80K","0-25","within3km",80
"734","91345",17102,"5139","3.33",178900,52603,34.281944,-118.438056,"LOSANGELES"," 5,620 "," 8,173 "," 8,173 "," 8,173 "," 27,206 ",18.61,"$40K-$60K","26-50","within3km",196
"735","91350",40069,"13321","3.08",238600,74616,34.446,-118.517,"LOSANGELES","209"," 9,673 "," 9,673 "," 9,673 "," 35,252 ",24.53,"$60K-$80K","0-25","within3km",0
"736","91351",59257,"20917","2.99",204700,61349,34.4228,-118.4712,"LOSANGELES"," 1,526 "," 8,353 "," 8,353 "," 8,353 "," 28,502 ",19.86,"$60K-$80K","0-25","within3km",0
"737","91352",46624,"12204","3.9",161400,41322,34.2248,-118.3594,"LOSANGELES"," 3,064 "," 7,296 "," 7,296 "," 7,296 "," 24,527 ",16.37,"$40K-$60K","0-25","within3km",135
"738","91354",17841,"5835","3.1",262600,84858,34.44553,-118.54724,"LOSANGELES"," 1,232 "," 10,606 "," 10,606 "," 10,606 "," 34,698 ",24.6,"$80K-$100K","0-25","within3km",0
"739","91355",24970,"10133","2.53",262400,76024,34.406069,-118.535302,"LOSANGELES"," 1,843 "," 8,254 "," 8,254 "," 8,254 "," 26,454 ",19.31,"$60K-$80K","0-25","within3km",0
"740","91356",27407,"11422","2.44",471800,51420,34.161582,-118.546573,"LOSANGELES"," 4,532 "," 6,933 "," 6,933 "," 6,933 "," 21,063 ",15.03,"$40K-$60K","0-25","within3km",105
"741","91364",25985,"10726","2.46",375800,79414,34.155131,-118.602117,"LOSANGELES"," 3,111 "," 9,531 "," 9,531 "," 9,531 "," 24,839 ",18.49,"$60K-$80K","0-25","within3km",109
"742","91367",36106,"16549","2.3",323600,61356,34.176089,-118.620157,"LOSANGELES"," 4,633 "," 7,680 "," 7,680 "," 7,680 "," 20,578 ",15.17,"$60K-$80K","0-25","within3km",220
"743","91381",9919,"3588","2.88",327500,87112,34.381972,-118.571447,"LOSANGELES","257"," 11,285 "," 11,285 "," 11,285 "," 33,331 ",23.91,"$80K-$100K","0-25","within3km",0
"744","91384",22173,"4848","3.21",222300,73933,34.464926,-118.641172,"LOSANGELES","240"," 10,736 "," 10,736 "," 10,736 "," 34,557 ",24.04,"$60K-$80K","0-25","within3km",0
"745","91401",40372,"14981","2.76",255400,35403,34.177691,-118.429258,"LOSANGELES"," 11,418 "," 6,067 "," 6,067 "," 6,067 "," 18,372 ",12.63,"$0-$40K","26-50","within3km",365
"746","91402",66241,"18217","3.76",150500,32496,34.2285,-118.44348,"LOSANGELES"," 17,722 "," 6,037 "," 6,037 "," 6,037 "," 17,770 ",11.88,"$0-$40K","51-75","within3km",256
"747","91403",22079,"11616","1.98",458100,53596,34.14786,-118.4661,"LOSANGELES"," 5,970 "," 6,234 "," 6,234 "," 6,234 "," 14,267 ",11.06,"$40K-$60K","0-25","within3km",113
"748","91405",51344,"16977","3.09",180800,29657,34.199976,-118.445986,"LOSANGELES"," 15,192 "," 5,524 "," 5,524 "," 5,524 "," 16,884 ",11.4,"$0-$40K","26-50","within3km",358
"749","91406",50041,"17721","2.91",181800,37178,34.201719,-118.491973,"LOSANGELES"," 6,152 "," 6,280 "," 6,280 "," 6,280 "," 19,108 ",13.12,"$0-$40K","26-50","within3km",242
"750","91411",23641,"8969","2.67",217600,34266,34.179,-118.44738,"LOSANGELES"," 11,705 "," 5,610 "," 5,610 "," 5,610 "," 17,603 ",12.13,"$0-$40K","51-75","within3km",351
"751","91423",29370,"15601","1.97",388500,52662,34.14726,-118.4325,"LOSANGELES"," 6,198 "," 6,222 "," 6,222 "," 6,222 "," 17,228 ",12.84,"$40K-$60K","26-50","within3km",207
