"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","within1km","within2km","within3km","incomelevels","stoplevels"
"139","90803",31349,"18634","1.76",432400,60513,33.760989,-118.128438,"LOSANGELES"," 7,587 "," 5,445 "," 5,445 "," 5,445 "," 19,831 ",14.82,14,70,184,"$60K-$80K","0-25"
"140","90804",43466,"16116","2.77",174700,29872,33.7834,-118.1506,"LOSANGELES"," 17,949 "," 5,083 "," 5,083 "," 5,083 "," 15,247 ",10.49,73,227,433,"$0-$40K","51-75"
"141","90805",91663,"27693","3.46",147400,32565,33.8631,-118.17654,"LOSANGELES"," 12,398 "," 6,015 "," 6,015 "," 6,015 "," 17,959 ",12.09,51,146,327,"$0-$40K","51-75"
"142","90806",49641,"15586","3.34",171000,31488,33.802423,-118.181073,"LOSANGELES"," 9,543 "," 5,677 "," 5,677 "," 5,677 "," 16,724 ",11.31,57,226,481,"$0-$40K","51-75"
"143","90807",31549,"13040","2.44",234800,50543,33.828815,-118.182699,"LOSANGELES"," 6,892 "," 6,247 "," 6,247 "," 6,247 "," 20,728 ",14.79,45,144,305,"$40K-$60K","26-50"
"144","90808",37403,"14484","2.61",235100,63620,33.822818,-118.10384,"LOSANGELES"," 5,804 "," 8,116 "," 8,116 "," 8,116 "," 27,271 ",19.3,22,83,203,"$60K-$80K","0-25"
"145","90810",35637,"9523","3.83",148000,36966,33.81798,-118.22328,"LOSANGELES"," 5,333 "," 6,648 "," 6,648 "," 6,648 "," 21,388 ",14.27,23,89,161,"$0-$40K","0-25"
"146","90813",63129,"17781","3.73",137700,20015,33.78147,-118.193375,"LOSANGELES"," 16,897 "," 4,875 "," 4,875 "," 4,875 "," 12,278 ",8.01,139,363,579,"$0-$40K","126-150"
"147","90814",19014,"9732","1.99",323400,41808,33.7718,-118.151,"LOSANGELES"," 14,447 "," 4,970 "," 4,970 "," 4,970 "," 18,350 ",13.08,80,210,379,"$40K-$60K","76-100"
"148","90815",38892,"15411","2.42",242500,61074,33.794933,-118.11685,"LOSANGELES"," 5,328 "," 7,016 "," 7,016 "," 7,016 "," 24,067 ",17.27,40,136,258,"$60K-$80K","26-50"
"149","91001",36235,"12776","2.87",258000,63543,34.191818,-118.138672,"LOSANGELES"," 4,076 "," 9,273 "," 9,273 "," 9,273 "," 25,683 ",18.25,35,90,169,"$60K-$80K","26-50"
"150","91006",30010,"10940","2.86",337200,58779,34.1378,-118.0247,"LOSANGELES"," 5,005 "," 8,273 "," 8,273 "," 8,273 "," 25,221 ",17.77,37,77,161,"$40K-$60K","26-50"
"151","91007",30925,"11859","2.63",384100,51255,34.127509,-118.04943,"LOSANGELES"," 5,640 "," 6,968 "," 6,968 "," 6,968 "," 22,395 ",15.79,27,81,199,"$40K-$60K","26-50"
"152","91010",27400,"8315","3.31",170200,50634,34.138317,-117.963453,"LOSANGELES"," 2,891 "," 7,814 "," 7,814 "," 7,814 "," 25,483 ",17.49,16,37,55,"$40K-$60K","0-25"
"153","91011",20187,"7019","2.94",583500,109802,34.20978,-118.20186,"LOSANGELES","527"," 10,567 "," 10,567 "," 10,567 "," 35,911 ",26.4,0,2,30,"$100K+","0-25"
"154","91016",41050,"15188","2.76",224800,46468,34.142773,-117.999564,"LOSANGELES"," 4,664 "," 7,228 "," 7,228 "," 7,228 "," 21,308 ",14.89,26,63,117,"$40K-$60K","26-50"
"155","91020",7515,"3291","2.25",248700,41580,34.210826,-118.228843,"LOSANGELES"," 9,993 "," 5,987 "," 5,987 "," 5,987 "," 19,840 ",13.94,24,46,62,"$40K-$60K","0-25"
"156","91024",10545,"4914","2.2",369200,65862,34.1684,-118.0516,"LOSANGELES"," 1,525 "," 7,739 "," 7,739 "," 7,739 "," 25,557 ",18.45,9,29,73,"$60K-$80K","0-25"
"157","91030",23975,"10716","2.3",384500,55701,34.111415,-118.155569,"LOSANGELES"," 6,921 "," 6,379 "," 6,379 "," 6,379 "," 21,617 ",15.58,29,89,250,"$40K-$60K","26-50"
"158","91040",18748,"7260","2.62",200900,51894,34.260514,-118.330679,"LOSANGELES"," 1,282 "," 7,879 "," 7,879 "," 7,879 "," 26,807 ",18.54,18,37,63,"$40K-$60K","0-25"
"159","91042",26738,"10109","2.69",197400,42882,34.254843,-118.283396,"LOSANGELES","682"," 7,211 "," 7,211 "," 7,211 "," 24,473 ",16.71,16,37,55,"$40K-$60K","0-25"
"160","91101",16809,"9228","1.85",202200,38187,34.147394,-118.139138,"LOSANGELES"," 12,934 "," 4,602 "," 4,602 "," 4,602 "," 13,751 ",10.14,107,234,366,"$0-$40K","101-125"
"161","91103",27887,"8359","3.33",209600,34824,34.165947,-118.162866,"LOSANGELES"," 5,959 "," 7,041 "," 7,041 "," 7,041 "," 18,516 ",12.56,15,73,219,"$0-$40K","0-25"
"162","91104",38449,"13424","2.94",253100,41815,34.168285,-118.12089,"LOSANGELES"," 10,041 "," 7,280 "," 7,280 "," 7,280 "," 20,493 ",14.15,32,113,308,"$40K-$60K","26-50"
"163","91105",10245,"4867","2.13",495900,83737,34.137505,-118.165612,"LOSANGELES"," 2,530 "," 7,995 "," 7,995 "," 7,995 "," 24,380 ",18.47,13,105,276,"$80K-$100K","0-25"
"164","91106",23725,"10997","2.18",370400,46617,34.140761,-118.12728,"LOSANGELES"," 8,139 "," 5,719 "," 5,719 "," 5,719 "," 17,641 ",12.8,68,182,329,"$40K-$60K","51-75"
"165","91107",32360,"13134","2.52",311300,56426,34.152027,-118.087574,"LOSANGELES"," 3,888 "," 7,554 "," 7,554 "," 7,554 "," 22,547 ",16.12,51,143,249,"$40K-$60K","51-75"
"166","91108",13149,"4525","3.02",688700,119147,34.119532,-118.11687,"LOSANGELES"," 3,467 "," 10,702 "," 10,702 "," 10,702 "," 33,313 ",25.16,7,28,199,"$100K+","0-25"
"167","91201",23978,"8571","2.86",299400,38179,34.169986,-118.290331,"LOSANGELES"," 10,112 "," 6,320 "," 6,320 "," 6,320 "," 20,553 ",14.06,25,80,158,"$0-$40K","26-50"
"168","91202",21971,"9048","2.49",346000,49818,34.167248,-118.267059,"LOSANGELES"," 9,971 "," 6,421 "," 6,421 "," 6,421 "," 21,682 ",15.33,7,53,143,"$40K-$60K","0-25"
"169","91203",14479,"5533","2.65",210400,32350,34.153091,-118.265454,"LOSANGELES"," 15,913 "," 5,401 "," 5,401 "," 5,401 "," 17,355 ",11.92,43,129,240,"$0-$40K","26-50"
"170","91204",16997,"5623","2.98",216900,32339,34.134298,-118.260161,"LOSANGELES"," 14,421 "," 5,007 "," 5,007 "," 5,007 "," 16,116 ",11.07,76,181,301,"$0-$40K","76-100"
"171","91205",41381,"14520","2.88",216600,27701,34.136336,-118.241388,"LOSANGELES"," 22,836 "," 5,080 "," 5,080 "," 5,080 "," 15,731 ",10.67,38,191,362,"$0-$40K","26-50"
"172","91206",31284,"13002","2.43",360300,41674,34.159713,-118.217895,"LOSANGELES"," 5,900 "," 5,668 "," 5,668 "," 5,668 "," 19,714 ",13.81,3,55,153,"$40K-$60K","0-25"
"173","91207",9852,"4030","2.5",442400,62347,34.168028,-118.243022,"LOSANGELES"," 2,237 "," 7,855 "," 7,855 "," 7,855 "," 26,282 ",18.67,4,48,152,"$60K-$80K","0-25"
"174","91208",16909,"6673","2.58",392400,76034,34.191114,-118.230854,"LOSANGELES"," 1,942 "," 8,512 "," 8,512 "," 8,512 "," 28,405 ",20.5,12,37,60,"$60K-$80K","0-25"
"175","91214",29101,"10521","2.81",287700,64843,34.23024,-118.24536,"LOSANGELES"," 4,572 "," 8,310 "," 8,310 "," 8,310 "," 27,252 ",19.28,12,31,53,"$60K-$80K","0-25"
"176","91301",25302,"8648","2.97",375600,88725,34.144523,-118.760382,"LOSANGELES"," 1,003 "," 11,368 "," 11,368 "," 11,368 "," 33,755 ",24.22,10,26,36,"$80K-$100K","0-25"
"177","91302",23644,"8849","2.76",587700,93378,34.134741,-118.656723,"LOSANGELES","817"," 10,559 "," 10,559 "," 10,559 "," 30,913 ",22.7,0,8,14,"$80K-$100K","0-25"
"178","91303",23508,"7758","3.11",168000,36769,34.19718,-118.60038,"LOSANGELES"," 10,968 "," 6,184 "," 6,184 "," 6,184 "," 18,031 ",12.4,39,143,271,"$0-$40K","26-50"
"179","91304",49226,"16980","2.93",248200,48052,34.218228,-118.627503,"LOSANGELES"," 5,183 "," 7,811 "," 7,811 "," 7,811 "," 22,538 ",15.67,8,43,101,"$40K-$60K","0-25"
"180","91306",43846,"13951","3.19",188600,49064,34.2096,-118.5741,"LOSANGELES"," 10,520 "," 8,210 "," 8,210 "," 8,210 "," 23,948 ",16.51,23,102,238,"$40K-$60K","0-25"
"181","91307",23622,"8192","2.88",256100,74072,34.20192,-118.66098,"LOSANGELES","982"," 10,741 "," 10,741 "," 10,741 "," 31,764 ",22.41,2,17,47,"$60K-$80K","0-25"
"182","91311",35317,"13541","2.61",261200,62270,34.255102,-118.597553,"LOSANGELES"," 1,187 "," 8,591 "," 8,591 "," 8,591 "," 27,097 ",19.14,25,61,101,"$60K-$80K","26-50"
"183","91316",27595,"13101","2.16",331800,49131,34.16304,-118.515,"LOSANGELES"," 4,076 "," 6,253 "," 6,253 "," 6,253 "," 19,751 ",14.2,19,74,140,"$40K-$60K","0-25"
"184","91321",30727,"10598","2.94",215100,49979,34.380013,-118.520234,"LOSANGELES"," 1,592 "," 7,255 "," 7,255 "," 7,255 "," 23,568 ",16.38,0,0,0,"$40K-$60K","0-25"
"185","91324",25731,"9052","2.89",243400,49961,34.240441,-118.548924,"LOSANGELES"," 5,919 "," 7,461 "," 7,461 "," 7,461 "," 22,042 ",15.45,32,99,202,"$40K-$60K","26-50"
"186","91325",32300,"11571","2.64",272600,48855,34.237662,-118.518345,"LOSANGELES"," 6,213 "," 6,970 "," 6,970 "," 6,970 "," 22,847 ",15.97,22,87,189,"$40K-$60K","0-25"
"187","91326",28049,"9904","2.88",342000,82310,34.275888,-118.545436,"LOSANGELES"," 3,271 "," 9,783 "," 9,783 "," 9,783 "," 31,458 ",22.56,0,9,57,"$80K-$100K","0-25"
"188","91331",97300,"22032","4.54",145800,39225,34.255562,-118.424498,"LOSANGELES"," 10,473 "," 7,674 "," 7,674 "," 7,674 "," 23,773 ",15.64,22,95,179,"$0-$40K","0-25"
"189","91335",68002,"22811","3.05",170600,40792,34.20024,-118.53942,"LOSANGELES"," 10,369 "," 7,093 "," 7,093 "," 7,093 "," 20,955 ",14.37,36,121,237,"$40K-$60K","26-50"
"190","91340",33373,"8075","4.24",144000,40398,34.286167,-118.434585,"LOSANGELES"," 10,577 "," 7,588 "," 7,588 "," 7,588 "," 22,968 ",15.26,29,100,194,"$40K-$60K","26-50"
"191","91342",81970,"22060","3.7",167400,48744,34.303906,-118.420534,"LOSANGELES"," 1,518 "," 8,301 "," 8,301 "," 8,301 "," 26,860 ",18.16,14,67,119,"$40K-$60K","0-25"
"192","91343",57001,"16785","3.45",202000,41786,34.2387,-118.47612,"LOSANGELES"," 9,530 "," 7,473 "," 7,473 "," 7,473 "," 21,924 ",14.9,36,95,238,"$40K-$60K","26-50"
"193","91344",48863,"16695","2.96",238100,64947,34.28526,-118.4988,"LOSANGELES"," 3,285 "," 9,132 "," 9,132 "," 9,132 "," 29,019 ",20.34,16,44,80,"$60K-$80K","0-25"
"194","91345",17102,"5139","3.33",178900,52603,34.281944,-118.438056,"LOSANGELES"," 5,620 "," 8,173 "," 8,173 "," 8,173 "," 27,206 ",18.61,28,96,196,"$40K-$60K","26-50"
"195","91350",40069,"13321","3.08",238600,74616,34.446,-118.517,"LOSANGELES","209"," 9,673 "," 9,673 "," 9,673 "," 35,252 ",24.53,0,0,0,"$60K-$80K","0-25"
"196","91351",59257,"20917","2.99",204700,61349,34.4228,-118.4712,"LOSANGELES"," 1,526 "," 8,353 "," 8,353 "," 8,353 "," 28,502 ",19.86,0,0,0,"$60K-$80K","0-25"
"197","91352",46624,"12204","3.9",161400,41322,34.2248,-118.3594,"LOSANGELES"," 3,064 "," 7,296 "," 7,296 "," 7,296 "," 24,527 ",16.37,20,63,135,"$40K-$60K","0-25"
"198","91354",17841,"5835","3.1",262600,84858,34.44553,-118.54724,"LOSANGELES"," 1,232 "," 10,606 "," 10,606 "," 10,606 "," 34,698 ",24.6,0,0,0,"$80K-$100K","0-25"
"199","91355",24970,"10133","2.53",262400,76024,34.406069,-118.535302,"LOSANGELES"," 1,843 "," 8,254 "," 8,254 "," 8,254 "," 26,454 ",19.31,0,0,0,"$60K-$80K","0-25"
"200","91356",27407,"11422","2.44",471800,51420,34.161582,-118.546573,"LOSANGELES"," 4,532 "," 6,933 "," 6,933 "," 6,933 "," 21,063 ",15.03,0,42,105,"$40K-$60K","0-25"
"201","91364",25985,"10726","2.46",375800,79414,34.155131,-118.602117,"LOSANGELES"," 3,111 "," 9,531 "," 9,531 "," 9,531 "," 24,839 ",18.49,8,48,109,"$60K-$80K","0-25"
"202","91367",36106,"16549","2.3",323600,61356,34.176089,-118.620157,"LOSANGELES"," 4,633 "," 7,680 "," 7,680 "," 7,680 "," 20,578 ",15.17,16,97,220,"$60K-$80K","0-25"
"203","91381",9919,"3588","2.88",327500,87112,34.381972,-118.571447,"LOSANGELES","257"," 11,285 "," 11,285 "," 11,285 "," 33,331 ",23.91,0,0,0,"$80K-$100K","0-25"
"204","91384",22173,"4848","3.21",222300,73933,34.464926,-118.641172,"LOSANGELES","240"," 10,736 "," 10,736 "," 10,736 "," 34,557 ",24.04,0,0,0,"$60K-$80K","0-25"
"205","91401",40372,"14981","2.76",255400,35403,34.177691,-118.429258,"LOSANGELES"," 11,418 "," 6,067 "," 6,067 "," 6,067 "," 18,372 ",12.63,48,188,365,"$0-$40K","26-50"
"206","91402",66241,"18217","3.76",150500,32496,34.2285,-118.44348,"LOSANGELES"," 17,722 "," 6,037 "," 6,037 "," 6,037 "," 17,770 ",11.88,54,129,256,"$0-$40K","51-75"
"207","91403",22079,"11616","1.98",458100,53596,34.14786,-118.4661,"LOSANGELES"," 5,970 "," 6,234 "," 6,234 "," 6,234 "," 14,267 ",11.06,14,57,113,"$40K-$60K","0-25"
"208","91405",51344,"16977","3.09",180800,29657,34.199976,-118.445986,"LOSANGELES"," 15,192 "," 5,524 "," 5,524 "," 5,524 "," 16,884 ",11.4,45,171,358,"$0-$40K","26-50"
"209","91406",50041,"17721","2.91",181800,37178,34.201719,-118.491973,"LOSANGELES"," 6,152 "," 6,280 "," 6,280 "," 6,280 "," 19,108 ",13.12,32,112,242,"$0-$40K","26-50"
"210","91411",23641,"8969","2.67",217600,34266,34.179,-118.44738,"LOSANGELES"," 11,705 "," 5,610 "," 5,610 "," 5,610 "," 17,603 ",12.13,71,204,351,"$0-$40K","51-75"
"211","91423",29370,"15601","1.97",388500,52662,34.14726,-118.4325,"LOSANGELES"," 6,198 "," 6,222 "," 6,222 "," 6,222 "," 17,228 ",12.84,31,99,207,"$40K-$60K","26-50"
"212","91436",13109,"5287","2.55",583400,102652,34.16591,-118.46357,"LOSANGELES"," 2,801 "," 10,169 "," 10,169 "," 10,169 "," 17,971 ",15.17,21,102,254,"$100K+","0-25"
"213","91501",18096,"7647","2.42",325500,43750,34.188999,-118.297989,"LOSANGELES"," 14,008 "," 6,036 "," 6,036 "," 6,036 "," 20,621 ",14.45,23,86,149,"$40K-$60K","0-25"
"214","91502",11500,"4918","2.39",202200,29185,34.176232,-118.307682,"LOSANGELES"," 8,841 "," 4,877 "," 4,877 "," 4,877 "," 14,964 ",10.38,53,141,213,"$0-$40K","51-75"
"215","91504",25872,"9816","2.67",289400,55813,34.203068,-118.329504,"LOSANGELES"," 3,267 "," 7,464 "," 7,464 "," 7,464 "," 23,815 ",16.84,20,80,162,"$40K-$60K","0-25"
"216","91505",29235,"13627","2.21",230800,51740,34.169079,-118.343061,"LOSANGELES"," 6,120 "," 6,549 "," 6,549 "," 6,549 "," 18,306 ",13.41,40,158,306,"$40K-$60K","26-50"
"217","91506",18530,"7953","2.34",250800,50849,34.172596,-118.322672,"LOSANGELES"," 7,504 "," 6,873 "," 6,873 "," 6,873 "," 20,797 ",14.87,29,143,305,"$40K-$60K","26-50"
"218","91601",36616,"15109","2.49",210100,31671,34.167888,-118.369332,"LOSANGELES"," 13,946 "," 5,361 "," 5,361 "," 5,361 "," 15,515 ",10.8,43,126,291,"$0-$40K","26-50"
